#NAME?,,,,,,,,,,,,,,
State,income per cap,employment rate,Unemployment rate,Number of rooms per person,Share of labour force with at least secondary education,Life expectancy at birth,Standardised mortality rate,"Air pollution, level of PM2.5",Homicide rate,Voter turnout in general election,Share of households with internet broadband access,Perceived social network support,Self-evaluation of life satisfaction,Perception of corrution
  CL12: Magallanes y Antártica,8619,67.7,2.6,1.4,85.2,77.4,10.3,1,5,40.8,33,74.4,7.3,41.6
  CL13: Santiago Metropolitan,8670,64.3,6.4,1.2,83.6,77.4,8.3,6.1,3.5,49.9,50,86.3,6.8,62.6
  CL14: Los Rios,5330,61.9,4.8,..,70.6,77.7,9.9,2.8,3.1,49.9,21,87.9,5.8,77.1
  CL15: Arica Y Parinacota,5722,45.8,6.2,..,82.8,79.2,8.9,7.7,3.3,40.9,49,88.6,6.4,38.1
CZE: Czech Republic,12353,70.4,6.1,1.4,95,78.3,9.8,16.9,1.7,59.8,76,88.1,6.5,83
  CZ01: Prague,15968,77.6,2.5,1.3,97.7,79.8,8.6,19.1,2.1,64.1,88,90.9,6.8,82
  CZ02: Central Bohemian Region,13062,72.4,5.1,1.4,96,78.1,10.1,16.6,1.7,61.5,77,78.6,6.2,78.8
  CZ03: Southwest,11871,71.5,5.5,1.5,94.4,78.2,9.8,15,0.8,59.3,75,86.7,6.4,84.4
  CZ04: Northwest,10657,66.8,8.7,1.4,90.1,76.3,11.3,16.2,2,51.7,68,91,6.3,89.2
  CZ05: Northeast,11487,70,6.3,1.5,95,78.4,9.6,14.5,1.7,60.8,70,91.9,6.6,88.9
  CZ06: Southeast,12033,70.5,5.9,1.4,96.1,78.7,9.1,16.9,2.1,61.4,78,90,6.5,87.7
  CZ07: Central Moravia,11057,67.7,6.9,1.4,95.4,78,9.8,17.1,2.4,60.2,76,92.7,6.6,85.2
  CZ08: Moravia-Silesia,10876,66.2,8.6,1.3,94.1,77,10.5,23.2,0.9,55.5,74,83.7,6.2,86.5
DNK: Denmark,17517,74.7,6.7,1.9,76.5,80.4,8.5,9.4,0.7,85.9,85,95.9,7.7,15.9
  DK01: Capital (DK),18143,76.3,7.1,1.8,80.2,80.5,8.7,12.7,0.7,85.8,89,96.9,7.7,13.4
  DK02: Zealand,17493,74.7,6.3,1.8,75.2,79.9,8.9,11,0.7,85.7,86,94.4,7.5,20.1
  DK03: Southern Denmark,17089,72.7,6.6,1.9,74,80.7,8.3,8.8,0.7,85.8,82,95.7,7.5,16.5
  DK04: Central Jutland,17215,74.3,6.1,1.8,75.4,81.2,8.2,7.2,0.9,86.8,86,96.8,7.6,14
  DK05: Northern Jutland,17364,75,6.4,1.9,74,80.5,8.6,6.2,0.5,84.8,80,97,7.7,18.8
EST: Estonia,8459,70.2,8.6,1.2,91.4,77.3,9.7,8.5,3.8,64.2,81,87.2,5.4,54.3
  EE00: Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,56.3
  EE001: North Estonia,10523,77.6,6.7,1.17,93.4,77.5,8.9,6.6,4.4,69.1,87.6,90.5,5.4,55.8
  EE004: West Estonia,7692,70.7,8,1.43,87.3,76.3,10.2,8.5,0.7,59.9,72.6,85,5.4,56.9
  EE006: Central Estonia,9035,71.1,7.9,1.36666666666667,83.7,75.7,10.7,7.2,3.2,61,71.4,91.2,5.7,59
  EE007: Northeast Estonia,5709,60.6,13.7,1.14,92.2,72.3,10.9,9,6.6,55,72.2,81.4,5.2,59
  EE008: Southern Estonia,8247,70.2,5.3,1.34166666666667,90.3,76.5,9.7,8.8,3.1,62.7,76.6,87,5.5,54.4
FIN: Finland,18529,69.7,8.9,1.9,86.9,81.1,7.7,5.9,0.7,68.9,89,94.2,7.5,23.9
  FI19: Western Finland,17657,69.9,8.7,1.9,86.9,81.4,7.5,5.2,0.7,68.4,88,94.3,7.5,28
  FI1B: Helsinki-Uusimaa,20971,74.3,7.3,1.8,86.9,81.7,7.5,7.8,0.6,73.8,93,93.9,7.5,..
  FI1C: Southern Finland,18041,67.8,9.4,1.9,86.1,80.8,7.9,6.5,0.6,69.1,88,93.9,7.5,25.7
  FI1D: Eastern and Northern Finland,16895,66.3,10,1.9,88.1,80.4,8,4.5,0.9,63.7,86,93.8,7.5,26.8
  FI20: Åland,21224,83.9,4,2.2,78.2,82.5,7.4,4.1,0,55.8,64,..,..,..
FRA: France,21704,63.6,9.7,1.7,81,82.3,6.8,11.6,1.1,80.3,77,92.3,6.7,59.8
  FR10: Ile de France,26032,65.7,9.7,1.5,80.7,83.8,6.1,14,1.3,78.2,84,91.6,6.6,54.5
  FR21: Champagne-Ardenne,20229,60.7,11.2,1.9,75.5,81.2,7.5,13.5,0.7,79.8,76,85.4,6.5,62.4
  FR22: Picardy,20370,60.5,11.6,1.8,73,80.6,8,13.7,1.1,81.1,77,90,6.6,59.7
  FR23: Upper Normandy,20830,60.9,11.9,1.8,78.4,81.2,7.5,10.7,0.9,81.1,80,90.2,6.5,66.9
  FR24: Centre (FR),21513,63.6,9.5,1.9,77.8,82.3,6.9,10.9,0.7,81.9,75,90.1,6.5,61.6
  FR25: Lower Normandy ,20751,65.7,8.2,1.9,79.8,82,7.1,10.2,0.5,83.2,65,92.2,6.5,55.4
  FR26: Burgundy,21307,63.4,10.7,1.9,80.7,81.9,7.1,10.9,1,81.5,69,91.9,6.7,62.7
  FR30: Nord-Pas-de-Calais,18579,57.1,13.8,1.8,81.5,79.8,8.4,15.2,1.5,78.6,79,93,6.7,55.9
  FR41: Lorraine,19791,60.5,11.8,1.9,81.8,81.4,7.4,12.3,0.9,79.7,74,90.6,6.5,64.6
  FR42: Alsace ,21003,64.9,10.1,1.8,83.1,82.2,7,15.9,0.8,79.7,76,92.8,6.6,58.7
  FR43: Franche-Comté,20566,63.3,9.8,1.9,80.4,82.4,6.8,10.3,0.9,82.8,81,95,6.2,59.3
  FR51: Pays de la Loire,20618,66.3,8.5,1.9,83.4,82.9,6.6,8.8,0.9,84.2,78,92.3,6.8,56.4
  FR52: Brittany,20740,66.5,7.4,2,86.9,81.6,7.3,8,0.8,84.7,73,92,6.9,58.1
  FR53: Poitou-Charentes,20650,63.7,10.9,2,82.3,82,7,8.1,0.9,82.5,77,90.9,6.8,56
  FR61: Aquitaine,21037,64.3,9,1.9,84.5,82.9,6.7,8.4,0.8,83.1,73,92.7,7,53.4
  FR62: Midi-Pyrénées,20859,65.6,9.1,1.9,86.4,83.4,6.5,8.9,1,84.4,78,92.9,6.9,57
  FR63: Limousin,21008,66.3,9.3,2,81.8,82,7.1,7.1,0.7,84.4,72,91.8,6.4,71.7
  FR71: Rhône-Alpes,21760,65.7,8.7,1.8,83.8,83.5,6.3,12.3,1.2,82.4,76,95,6.8,56.4
  FR72: Auvergne,21210,63.3,7.3,2,81.2,81.9,7.2,9.2,0.7,83.6,72,94.5,6.6,62.3
  FR81: Languedoc-Roussillon ,19420,58.4,12.2,1.8,79,82.5,6.8,8.9,1.1,82.6,81,91.8,6.6,69.3
  FR82: Provence-Alpes-Côte d'Azur,21333,65.2,10,1.6,80,82.9,6.6,10.8,2.3,80.6,75,90.3,6.7,56.1
  FR83: Corsica,19663,31.3,10,1.6,74.4,82.5,6.7,6.9,6.9,74.3,70,98.2,7.3,60
DEU: Germany,23601,76.3,4.9,2.2,86.7,80.9,8,13.7,0.8,71.5,87,94,6.7,55.6
  DE1: Baden-Württemberg ,25288,78.6,3.1,2.1,85.2,81.9,7.2,14.8,0.7,74.3,85,93.9,6.9,51.5
  DE2: Bavaria,26203,79,2.9,2.2,87.1,81.3,7.7,13.5,0.6,70.2,86,94,6.9,57
  DE3: Berlin,20244,70.9,9.8,2,86.3,80.5,7.8,14.8,1.2,72.4,88,94.5,6.4,52.7
  DE4: Brandenburg,20746,75.5,6.7,2.2,93.8,80,8.3,14.6,1.6,68.4,78,91.8,6.2,52.5
  DE5: Bremen ,23228,70.3,6.6,2.2,82.1,79.5,8.5,13.3,1.5,68.8,87,93.9,6.9,46.7
  DE6: Hamburg,25315,76.8,5,2,85.7,80.6,7.8,13.7,1,69.6,91,95,7,44.1
  DE7: Hesse,24308,74.4,4.4,2.1,85.5,81,7.8,13.2,1,73.2,89,91.9,6.8,48.8
  DE8: Mecklenburg-Vorpommern,19604,70.9,9.6,2.3,92.1,79.6,8.5,10.3,0.6,65.4,78,93.9,6.5,54.7
  DE9: Lower Saxony ,22726,74.6,4.6,2.3,85.6,80.2,8.3,13.2,1,73.4,89,93.4,6.9,51.6
  DEA: North Rhine-Westphalia,23489,71.3,5.6,2.1,83.7,80.2,8.3,14.6,0.7,72.5,88,94.2,6.8,53.1
  DEB: Rhineland-Palatinate,24869,74.6,3.9,2.3,84.6,80.7,8.1,13.4,0.7,72.8,87,94.1,6.8,55.1
  DEC: Saarland,22352,69.8,5.8,2.5,84.1,79.6,8.5,11,1.6,72.5,88,92.4,6.7,62.2
  DED: Saxony,20476,76.2,7.2,2.3,94.9,80.5,8.1,13.2,0.8,69.7,83,94.6,6.2,55.3
  DEE: Saxony-Anhalt,19990,73,8.8,2.4,93.3,79.3,8.8,12.5,1.1,62,84,95.2,6.1,54.9
  DEF: Schleswig-Holstein,24048,74.6,4.6,2.2,86.9,80.3,8.3,13,1.2,73.1,88,96,6.9,56.6
  DEG: Thuringia,20131,76.2,6,2.3,95.1,80.2,8.3,11.2,1.2,68.2,84,95.3,6.2,57.3
GRC: Greece,10755,50.5,26.2,1.5,72.7,81.4,7.5,13.6,3.3,65.1,65,81.1,5.6,87.5
  GR1: Northern Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  GR2: Central Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..
