#NAME?,,,,,,,,,,,,,,
State,income per cap,employment rate,Unemployment rate,Number of rooms per person,Share of labour force with at least secondary education,Life expectancy at birth,Standardised mortality rate,"Air pollution, level of PM2.5",Homicide rate,Voter turnout in general election,Share of households with internet broadband access,Perceived social network support,Self-evaluation of life satisfaction,Perception of corrution
  ME22: Queretaro,4009,55.7,5.9,1,41,75.2,10,21.1,6.1,66.8,32.3,83.3,7.4,51.4
  ME23: Quintana Roo,4114,67.8,4.5,0.8,43.4,75.5,9.5,3.2,11,58.1,46.7,95.9,8.1,63.5
  ME24: San Luis Potosi,2847,63.2,3.2,1,37,74.5,8.9,9.1,11.2,63.3,27.2,58.9,6.7,36.5
  ME25: Sinaloa,3860,62.1,5.8,1,47.5,75.1,9.1,6.9,41.1,61.7,38.1,67.6,8.1,76
  ME26: Sonora,4680,68.8,4.9,1,45.4,75.1,10.8,5.6,23.1,57.8,45.9,62.1,8.1,65.4
  ME27: Tabasco,3023,58.5,6.6,0.9,40.5,74.6,10,7.4,10.6,71.3,28.6,88.3,6.8,67.2
  ME28: Tamaulipas,3809,63.5,5.2,1,44,75.5,10,6.7,25.5,58.5,37.2,68.6,8.2,64.1
  ME29: Tlaxcala,2381,63.5,5.8,0.9,37,75,9,11.7,7.1,63.9,24.8,80.8,7.4,72.3
  ME30: Veracruz,2614,57.5,3.7,0.9,35,73.9,10.2,11.4,9.6,67.1,21.2,78.8,6.6,68.9
  ME31: Yucatan,3519,69.3,2.4,0.9,38,75.4,10.2,3.2,2.4,77.4,29.5,94.1,8.2,54.1
  ME32: Zacatecas,2717,58.7,4.8,1,30.4,75,9.2,7.1,27.7,61.4,25.8,91.7,6.3,90.1
NLD: Netherlands,17714,74.2,7.6,2,75.9,81.4,7.7,13.6,0.9,74.6,95,93.9,7.5,34.3
  NL1: North Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  NL2: East Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  NL3: West Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  NL4: South Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NZL: New Zealand,16552,78.1,5.8,2.2,74.1,81.4,7.1,2.1,0.9,74.2,75,94.8,7.3,25.2
  NZ01: North Island (NZ),..,..,..,..,..,..,..,..,..,..,..,..,..,..
  NZ02: South Island (NZ),..,..,..,..,..,..,..,..,..,..,..,..,..,..
NOR: Norway,22832,78.1,3.5,2,82.7,81.8,7.6,4.4,0.8,78.2,88,93.8,7.5,27.6
  NO01: Oslo and Akershus,24721,79.6,3,1.8,85.5,82.3,7.3,5.6,0.8,80.9,95,93.8,7.6,30.3
  NO02: Hedmark and Oppland,21062,77.1,2.6,2.1,81.3,80.9,8.2,4,0.3,76.3,77,93.8,7.4,26.4
  NO03: South-Eastern Norway,21621,74.1,3.3,2.1,80.1,81.3,8,5.1,1,77.1,88,95,7.6,30.9
  NO04: Agder and Rogaland,22883,79,2.5,2,82,81.9,7.7,4.5,0.3,77.9,84,92.4,7.6,30.8
  NO05: Western Norway,22474,78.7,2.2,2,83.4,82.4,7.3,4,1.5,79,87,93.6,7.5,28.4
  NO06: Trøndelag,21801,77.4,2.5,2,84.2,82.1,7.5,2.2,0,78.5,83,96.3,7.7,28.9
  NO07: Northern Norway,21808,75.8,2.8,2.1,79.2,81.1,8,2.9,1,74.2,90,90.4,7.5,24.5
POL: Poland,11782,59.9,9,1,93.4,77.1,10,15.4,1.7,50.9,71,90.5,5.8,73.5
  PL1: Central region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL11: Lodzkie,11952,74.2,8.9,1,91.9,75.4,11.1,17.5,2.3,51.6,66,89.7,5.8,68.4
  PL12: Mazovia,14136,71.9,7.2,1.1,94.1,77.7,9.6,15.5,1.9,58.7,75.3,90.8,5.9,72.4
  PL2: South region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL21: Lesser Poland ,11143,57.4,9.1,0.9,95,78.5,9.2,18.5,1.3,54.9,71.7,91.5,5.8,69.7
  PL22: Silesia,13257,58.3,8.6,1,96,76.3,10.5,17.3,1.9,52.2,68.2,89.4,5.8,67.8
  PL3: East region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL31: Lublin Province ,10271,66.9,9.9,1,91.9,77.1,10,15.1,2.2,49,70.8,93.8,5.7,71.1
  PL32: Podkarpacia,9339,53.5,14,0.9,93,78.6,9.1,15.4,0.7,50.4,74.3,93.8,5.4,72.4
  PL33: Swietokrzyskie,10426,66.7,11.4,0.9,91.2,77.1,10.1,13.7,2.3,46.8,66.5,89.9,5.4,70.6
  PL34: Podlasie,9914,57.9,9.1,1.1,90.5,77.7,9.4,13.1,1.2,47.1,70.8,92.1,5.8,64.3
  PL4: Northeast West region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL41: Greater Poland,12341,55.2,7.7,1,94.4,77.2,10.2,15.4,1.2,50.2,74.6,91.8,6,78.4
  PL42: West Pomerania,11492,47.9,8.4,1,91.1,76.7,10.2,12.2,2.2,45.9,66.5,92.7,6.6,74.2
  PL43: Lubusz,10801,56.5,8.3,1,93.1,76.3,10.5,15.3,2.8,44.6,63.3,87.5,5.9,78.5
  PL5: South-West region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL51: Lower Silesia ,12079,54.1,9.1,1.1,94.4,76.9,10.1,13.8,2.1,49.4,71.9,86.7,6,71.9
  PL52: Opole region,10571,54.9,7.8,1.1,93.4,77.2,9.9,18.3,1,43.1,71.5,88.1,5.8,72.2
  PL6: North region,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  PL61: Kuyavian-Pomerania,10574,53.8,10.7,0.9,92.3,76.9,10.2,14.3,1.6,46.4,69.9,92,5.9,76.6
  PL62: Warmian-Masuria,10245,52.3,9.8,0.9,88.9,76.3,10.5,11.6,1.5,42.3,64.1,91.6,6,67.1
  PL63: Pomerania,11601,57.1,8.6,1,92.7,77.9,9.5,10.3,1.8,51.9,78.8,88.4,6.1,69.7
PRT: Portugal,15973,66.1,13.9,1.9,47.3,80.8,7.8,7.1,1.3,56.9,63,86.3,5.3,81.3
  PT11: North (PT),13584,63.4,14.8,1.9,42.5,81.3,7.7,8.1,0.8,57.8,61,85.7,5.3,84.2
  PT15: Algarve,16290,68.8,14.5,1.9,48.1,80.6,8,6.9,2.9,51.4,64,83.2,5.2,85.5
  PT16: Central Portugal,14632,71.7,10.6,2.1,42.5,81,7.8,6.9,1.9,55.2,57,86.9,5.1,85.1
  PT17: Lisbon,20353,65.8,14.9,1.9,60.5,81.3,7.5,7.2,1.4,59.8,72,87.5,5.4,84.2
  PT18: Alentejo,15075,66.1,14.3,2,44,80.2,8.3,6.4,1.2,58.3,53,79.7,5.4,86
  PT20: Azores (PT),16515,58.8,16.3,1.8,33,76.7,11.1,3.2,0.8,41.2,69,90.8,5.4,76.6
  PT30: Madeira (PT),15823,61.7,15.1,1.6,38.2,78.4,9.6,5,1.5,49,67,82.2,5.2,72.8
SVK: Slovak Republic,14127,63.3,12.3,1.2,93.4,76.5,10.9,16.1,1.4,43.4,76,90,5.9,77.8
  SK01: Bratislava Region,22045,73.1,6,1.1,96.7,78.1,10,17,1.9,52.1,78,88.1,6.5,75
  SK02: West Slovakia,11848,63.8,11,1.1,94.4,76.8,10.9,15.6,1.4,42.8,76,87.4,6.1,80.7
  SK03: Central Slovakia,11621,59.2,15.9,1.1,92,76.2,11.2,17.7,1.3,43.3,74,91.3,6,79.8
  SK04: East Slovakia,9660,56.5,16.6,1.1,92.3,76.2,10.9,14.2,1.4,40.4,78,90.9,6,69
SVN: Slovenia,14142,65.6,9.7,1.4,87.9,80.4,8.1,13.4,1.9,51.7,75,91.7,5.9,72.1
  SI01: Eastern Slovenia,13507,64.6,11.1,1.4,86.6,79.5,8.8,12.4,1.9,49.4,73,91.8,5.9,78
  SI02: Western Slovenia,14673,66.8,8.1,1.4,89.4,81.7,7.3,14.4,2,55.2,78,92.1,6.2,77.5
ESP: Spain,17201,55.1,25,1.9,60.5,83,6.6,8.7,0.6,69.7,73,93.9,6.6,71.4
  ES11: Galicia,16317,56.6,21.7,2.1,58.3,82.9,6.7,6.5,0.5,61.5,69,92.3,6.3,72.8
  ES12: Asturias,18066,54.6,21.1,2,67.7,82.5,7,5.5,0.8,63.8,72,95.9,6.3,72.5
  ES13: Cantabria,17242,58,19.4,2,68.8,83.4,6.5,7.8,0.7,71,72,100,7,79
  ES21: Basque Country,22884,61.8,16.3,2.1,73.1,83.7,6.3,4.6,0.6,69,77,96.4,6.9,79.9
  ES22: Navarra,21896,63.1,15.7,2.1,69.1,84,6.2,9.5,0.6,70.9,76,98.1,7,66.1
  ES23: La Rioja,18340,62.5,18.2,2.1,64.4,84,6.2,7.8,0,72.4,69,81.2,6.2,61.8
  ES24: Aragon,19007,60.2,20.2,2.1,65,83.4,6.5,10,0.5,72.6,70,90.8,6.7,72.8
  ES30: Madrid,20925,63.2,18.7,1.8,74.7,84.8,5.8,8.3,0.6,74.1,83,93.8,6.4,77.4
  ES41: Castile and León,17365,57.8,20.8,2.2,61.6,84,6.2,7.7,0.8,71.2,68,93.5,6.3,71.2
  ES42: Castile-La Mancha,14224,51.9,29,1.9,53.3,83.5,6.4,9.3,0.7,75.3,66,96.2,6.3,77.5
  ES43: Extremadura,13145,48.9,29.8,2,47.5,82.2,7.2,7.3,0.6,72.2,62,95.2,6.7,60.7
  ES51: Catalonia,19447,62.3,20.3,1.8,61.5,83.4,6.5,10.4,0.6,68.6,76,91.5,6.4,75.3
  ES52: Valencia,15478,54.9,25.8,1.9,58.4,82.8,6.8,11,0.6,74.8,70,93.3,6.3,78.3
  ES53: Balearic Islands,17243,62.1,20,2,55.6,82.9,6.8,8.1,0.9,63.3,77,91.1,6.8,77.6
  ES61: Andalusia,13789,46.5,34.8,1.8,51,81.8,7.3,8.3,0.8,69.1,70,93,6.4,71.1
  ES62: Murcia,14263,53.9,26.6,1.8,52.6,82.7,6.8,12,0.3,71.1,72,95.6,6.9,71.2
  ES63: Ceuta ,15132,44.8,31.8,1.2,49.9,79.7,8.3,11.2,2.4,54.4,81,100,6.4,73.9
  ES64: Melilla,13776,43.1,28.2,1.3,61.4,81,7.8,13,1.2,49.4,82,100,6.1,74.8
  ES70: Canary Islands,14654,49.2,32.4,1.6,53.7,82.7,6.8,9.8,0.6,60.3,71,93.4,6.5,79.4
SWE: Sweden,19923,77.8,7.9,1.7,84,82,7.5,6.2,0.9,86,87,92.4,7.4,17.7
  SE11: Stockholm,23456,80.3,7.1,1.6,85.7,82.8,7.1,7,1.2,85.7,88,91.6,7.4,13.5
  SE12: East Middle Sweden,19007,76.1,8.3,1.7,83.5,81.8,7.6,5.9,1.1,86.5,88,92,7.3,18.6
  SE21: Småland with Islands,18583,79.4,6.7,1.9,82,82.2,7.4,7.1,0.2,86.8,85,92.9,7.6,16
  SE22: South Sweden,18765,74.6,10,1.7,83.7,82,7.6,9,0.8,84.4,85,93.2,7.5,17
  SE23: West Sweden,19721,79,7.6,1.7,83.4,82.1,7.5,6.2,1.3,85.8,90,93.3,7.4,17.1
  SE31: North Middle Sweden,18027,75.2,8.6,1.8,82.9,81.6,7.8,4.6,0.6,85.9,78,94.1,7.3,17.5
  SE32: Central Norrland,18255,78.1,7.4,1.8,84.8,80.9,8.2,2.7,0.3,85.8,84,89.2,7.4,16.4
  SE33: Upper Norrland,18527,76.3,7.4,1.8,86.5,81.1,8,3.5,0.4,86.2,85,90.9,7.4,21
CHE: Switzerland,21849,82.2,4.5,1.7,85.2,82.9,6.8,14.6,0.7,48.5,86,94.7,7.6,25.5
  CH01: Lake Geneva Region,20880,75.1,6.7,1.5,83.2,83.2,6.6,13.7,1,47,85,94.3,7.4,25
  CH02: Espace Mittelland,19908,84.1,4.3,1.7,84.7,82.5,7.1,12.5,0.9,48.5,81,95.3,7.5,30
  CH03: Northwestern Switzerland ,22632,82.2,4.2,1.7,87.5,82.9,6.7,16.3,0.5,48.2,87,95.5,7.4,24.5
  CH04: Zurich,26028,84.7,4.1,1.6,86.6,83,6.8,16.3,0.4,47.2,93,93.5,7.7,18.1
  CH05: Eastern Switzerland,20484,85.1,3.2,1.8,84.5,82.7,7,13.8,0.5,47.2,87,95.8,7.8,23.4
  CH06: Central Switzerland,22428,86.5,3.5,1.7,84.9,83.2,6.7,11.5,1,53,87,95.6,7.8,26
  CH07: Ticino,19572,73.5,6.7,1.7,84.3,83.8,6.4,16.4,0,54.4,77,89.6,7.3,17.3
TUR: Turkey,5779,49.6,9.9,1,40,77,9.2,15.7,2.3,87.3,46,76,5.3,58.3
  TR10: Istanbul,7480,50.2,11.9,0.9,47.3,77.2,9.2,15.2,2,86.5,63,77.2,5.1,61.6
  TR21: Thrace,6414,56.5,7.6,1.1,40.4,76.4,9.8,14.5,1.6,89.7,63,71.8,5.8,70.5
  TR22: Southern Marmara - West,5758,51.3,5.6,1.3,40.5,76.9,9.7,13.3,2.6,90.4,41,82.6,5.4,64.1
  TR31: Izmir,6836,51.6,13.8,1.1,46.3,76.3,8.9,12.5,2.4,88.3,57,73.9,5.2,68.9
  TR32: Southern Aegean,5802,55.9,7.2,1.1,32.6,76.9,8.4,13.9,2.8,89.4,39,78.4,5.1,62.5
  TR33: Northern Aegean,5669,55.6,3.9,1.1,31.7,76.6,9.9,12.3,3.1,91.1,32,74.4,5.4,61.5
  TR41: Eastern Marmara - South ,6773,50.1,6.2,1.1,46.4,77.5,10.1,14.5,2.2,89.6,55,79.8,6.3,53.9
  TR42: Eastern Marmara - North,6172,53.7,9.9,1,42.1,77.2,9.6,14.6,2.1,89.2,54,82.3,5.4,61.1
  TR51: Ankara,8447,49,11.5,1.1,59.8,77,8.8,15.2,1.9,88.9,55,81.7,5.8,69.5
  TR52: Central Anatolia - West and South,5494,49.7,5.5,1.1,32.8,77.9,9,16,2.5,88.3,40,77.1,5.6,48.9
  TR61: Mediterranean region - West,6423,56.1,8.4,1.1,40.1,76,8.7,14.7,2,87.2,50,76.4,5.5,63.3
  TR62: Mediterranean region - Middle,4899,47.7,10.7,0.9,39.6,75.7,9.4,19.8,3.3,86.1,36,71.5,5.5,57.7
  TR63: Mediterranean region - East ,3575,39.1,15.3,0.9,32.6,75.2,8.9,19.2,2.5,86.8,38,68.3,4.4,58.2
  TR71: Central Anatolia - Middle,4993,49.1,7.6,1.1,34.6,76.5,9.3,16.6,2.3,85.6,44,77.6,5.4,64.5
  TR72: Central Anatolia - East,5613,47.8,9.5,0.9,39.9,76.4,9.5,16.5,1.6,87.5,40,72.4,5.6,42.1
  TR81: Western Black Sea - West,6139,55,6,1.2,32.7,76.3,9.6,10.9,2.5,88.4,49,88.1,5.3,59.1
  TR82: Western Black Sea - Middle and East,5469,58.4,6.5,1.1,31,76.7,9.2,11.1,3,87.5,37,79.7,6,38.1
  TR83: Middle Black Sea,5067,52.5,6.2,1,30.4,76.5,9.4,11.9,2.7,88.3,35,77.4,5.7,52.1
  TR90: Eastern Black Sea,5757,56.3,6.2,1,35.1,76.5,7.9,11.3,1.7,84.5,35,86.5,5.4,48.1
  TRA1: Northeastern Anatolia - West,4836,49.9,7.3,0.8,27.6,77.1,9.4,15.4,1.7,86.6,28,83.7,5.6,45.9
  TRA2: Northeastern Anatolia - East,3171,56.6,3.4,0.7,19.9,77.8,9.7,18.6,3.9,77.3,41,84,5.3,53.6
  TRB1: Eastern Anatolia - West,4304,47.9,7.5,0.9,41.8,78.7,8.7,18.2,2.4,85.6,41,60.2,5.5,45.9
  TRB2: Eastern Anatolia - East,2865,44.1,13.4,0.6,21.8,77.2,10,18.6,1.8,82.6,15,72.8,4.9,45.6
  TRC1: Southeastern Anatolia - West ,3478,42.7,8.1,0.7,31.8,75.9,9.5,19.7,3.1,84.5,31,64.6,5,41.4
  TRC2: Southeastern Anatolia - Middle,2686,36.6,17.5,0.6,21.6,78.5,9.2,22,3.4,81.7,20,58.4,4.6,49
  TRC3: Southeastern Anatolia - East,2552,29.6,24.1,0.6,29.3,77.9,8,22.7,2,83.6,28,71.7,4.4,61
GBR: United Kingdom,20950,73,5.6,1.9,81.8,81.1,7.8,9.2,1,66.1,88,94.8,6.9,45.9
  UKC: North East England,18459,68.5,8.5,2.2,79.7,80,8.5,6.7,1,61.2,86,92.1,6.7,45.6
  UKD: North West England,19050,69.9,7.1,2.1,81.4,80,8.5,10.3,1,64,87,94.4,6.8,47.2
  UKE: Yorkshire and The Humber,18848,70.8,7.4,2.1,79.3,80.5,8.3,7.8,1.1,63.1,86,95.8,6.9,47.5
  UKF: East Midlands,19656,74.3,5.6,2.1,79.7,81.2,7.8,7.4,1,66.6,89,95,6.9,49.7
  UKG: West Midlands,19231,70.7,6.8,2.1,77.3,80.8,8,7.8,1,63.5,85,95.3,6.8,51.8
  UKH: East of England,22901,77,5.2,2.1,80.4,82.2,7.3,12.1,0.9,67.6,87,94.6,6.9,47.9
  UKI: Greater London,27831,71.4,7,1.8,86.5,82.3,7.1,11.3,1.3,65.5,92,92.9,6.7,42
  UKJ: South East England,24606,77.5,4.8,2,84.3,82.2,7.3,10.1,0.8,68.5,91,93.6,6.9,45.5
  UKK: South West England,21881,77.4,5,2.1,82.6,81.9,7.4,9.9,0.8,69.6,90,94.7,7,42.4
  UKL: Wales,19035,70.4,6.8,2.2,80.7,80.3,8.3,8.3,0.7,65.7,85,95,6.8,53.7
  UKM: Scotland,21060,72.6,6.2,1.9,83.2,79.3,8.9,6.9,1.2,71.1,84,96,7.1,49.6
  UKN: Northern Ireland,17722,68.1,6.4,1.9,76.1,80.4,8.2,6.1,1.2,58.1,86,95.1,7,53.2
USA: United States,37263,69.6,6.2,2.4,89.4,78.6,8.5,7.5,4.5,68,78.1,92.1,7.2,70.8
  US01: Alabama,31369,63.1,7.1,2.7,89.2,75.4,10.6,7.4,7.2,61.9,68.7,94.4,7.4,75.3
  US02: Alaska,43028,66.5,7.1,2.1,92.4,78.3,8.3,3,4.6,58.4,82.6,93.7,6.8,54.5
  US04: Arizona,31567,66.5,7,2.4,87.4,79.6,7.7,6,5.4,55.9,76.2,90,6.9,74.6
  US05: Arkansas,31430,63.7,5.9,2.6,88.6,76,10.3,7.6,5.4,53.3,65.7,90.8,7,73.8
  US06: California,39517,66,7.5,1.9,85.2,80.8,7.3,6.2,4.5,57.5,80.5,93.2,7.4,67.2
  US08: Colorado,38902,73.5,4.9,2.5,90.9,80,7.6,5.8,3.4,70.4,83,93.6,7.4,63.4
  US09: Connecticut,47976,73.5,6.5,2.5,91.5,80.8,7.6,7.6,2.4,62.7,83.9,87.1,6.9,71.5
  US10: Delaware,37669,69.6,5.8,2.8,90.9,78.4,8.9,9.7,4.2,67.3,78.1,95.7,8.1,61.2
  US11: District of Columbia,61738,72,7.9,2.4,94.1,76.5,10.1,13,15.9,75.9,75.8,93.8,6.8,77.5
  US12: Florida,35243,70.7,6.3,2.5,89.5,79.4,7.6,4.3,5,60.8,78.3,93.2,7,68.1
  US13: Georgia,32009,64.6,7.2,2.5,88.6,77.2,9.3,8.6,5.6,61.9,76.3,90.5,7,75.9
  US15: Hawaii,38409,68.6,4.3,1.8,94.2,81.3,7.3,2.7,1.5,51.6,83.3,97.9,7.6,72.2
  US16: Idaho,30975,70.6,4.7,2.5,89.8,79.5,8.5,5,1.7,63.9,78.6,83.2,6.8,80.9
  US17: Illinois,38765,70.4,7,2.4,90.4,79,8.4,10.3,5.5,61.5,79.3,93.5,6.9,75.9
  US18: Indiana,32718,70.1,6,2.6,90,77.6,9.6,9.2,5.4,59.3,75.3,91,7,77.4
  US19: Iowa,37902,81.2,4.6,2.7,92.4,79.7,8.5,9.6,1.4,69.4,78.7,94.1,7.5,69.4
  US20: Kansas,37508,76.1,4.5,2.6,90.6,78.7,8.8,8.1,3.9,63.3,78.8,95.7,7.4,66.9
  US21: Kentucky,30801,64.3,6.5,2.6,89.8,76,10.3,7.9,3.8,59.3,74.8,90.7,7.1,77.9
  US22: Louisiana,35275,65.5,6.4,2.4,87.7,75.7,10.3,4.9,10.8,66.3,70.3,90.3,7.4,69.7
  US23: Maine,34805,74.9,5.8,3,94.4,79.2,9.3,5.4,1.8,68.6,79.2,91,6.8,81.5
  US24: Maryland,44290,72.3,5.8,2.6,91.5,78.8,8.3,11.2,6.4,65.1,83.4,95.6,7.4,70.1
  US25: Massachusetts,46078,73,5.8,2.5,92.4,80.5,7.8,6.2,2,70.8,85.3,95.1,7,71
  US26: Michigan,32770,67.2,7.2,2.7,92,78.2,9.1,7.8,6.4,66.8,76.3,97.2,6.9,73.9
  US27: Minnesota,38991,79.1,4,2.7,92.6,81.1,7.7,9.8,2.1,73.2,82.6,93.5,7.4,62.5
  US28: Mississippi,29482,58,7.6,2.5,87.9,75,11,5.9,6.5,74.5,62.3,95.9,7.3,80.1
  US29: Missouri,34492,71.9,6.4,2.7,91.8,77.5,9.3,8,6.1,63.9,75.6,86.3,7.2,77.6
  US30: Montana (US),33175,75.2,4.6,2.8,92.4,78.5,10,4.4,2.2,65.7,77.6,96.3,6.6,64.3
  US31: Nebraska,39967,80.8,3.2,2.7,90.9,79.8,8.3,8.6,3,61.6,78.8,86.7,7.8,60.1
  US32: Nevada,33374,67.7,7.7,2.3,86.1,78.1,8.8,5,5.8,57.9,79.4,92,6.8,68.4
  US33: New Hampshire,43626,78.5,4.2,2.7,93.6,80.3,9.1,5.6,1.7,69.4,85.7,97.9,6.9,72.1
  US34: New Jersey,45373,70.8,6.7,2.4,91.1,80.3,7.9,10.3,4.5,61.9,84.5,88.7,7.1,79.1
  US35: New Mexico,31031,63.2,7,2.4,87.2,78.4,8.3,4.9,6,61.6,68.1,92.4,7.1,70.1
  US36: New York,43527,67,6.4,2.2,89.5,80.5,7.6,10.5,3.3,58.7,80.6,92.7,7.1,70.9
  US37: North Carolina,32729,66.2,6.2,2.6,89.2,77.8,9,7,4.8,68.9,75.2,91,7.4,70
  US38: North Dakota,43906,83.1,2.9,2.8,93.8,79.5,9.4,7.1,2.2,63.9,79.4,87.7,7.9,63.2
  US39: Ohio,34483,70.8,5.6,2.7,91.8,77.8,9.4,9.9,3.9,63.1,77.1,96.4,6.8,71.1
  US40: Oklahoma,35688,67.2,4.5,2.5,88.4,75.9,10.4,6.9,5.1,52.4,71.1,91.4,7,76.5
  US41: Oregon,33153,68.6,7.1,2.4,89.8,79.5,8.4,3.4,2,67.6,82.4,90.2,7,65.7
  US42: Pennsylvania,38699,71.4,5.7,2.7,92.1,78.5,8.8,10.3,4.6,61.6,78.9,93.6,7,71.2
  US44: Rhode Island,39553,71.5,7.8,2.5,89.9,79.9,9.5,5.7,2.9,62.5,82.9,96.6,7.5,59.6
  US45: South Carolina,30733,65.1,6.4,2.7,89,77,9.6,5.7,6.2,64.7,71.7,84.9,7.7,77.8
  US46: South Dakota,39778,79.6,3.5,2.7,91.3,79.5,8.4,7.4,2.4,61,76,96.5,7.1,70.1
  US47: Tennessee,34500,65.2,6.6,2.6,90.4,76.3,10.1,7.7,5,55.7,72.2,93.8,7.4,76.2
  US48: Texas,37326,69.1,5,2.2,85.2,78.5,8.7,6.2,4.3,53.8,74.6,89,7.3,70.3
  US49: Utah,30950,72.8,3.9,2.2,91,80.2,8.2,3.6,1.7,57,83.8,94.3,7.1,65.9
  US50: Vermont,38685,79,4,3.1,92.1,80.5,9.4,6.7,1.6,63.3,80.9,95.4,8,69
  US51: Virginia,40462,72.1,5.2,2.6,91.5,79,8.4,9.5,3.8,66.9,80.6,91.1,7.4,59.2
  US53: Washington,40619,68.8,6.3,2.4,91,79.9,8,4.1,2.3,65.6,83,94.2,7.2,66.1
  US54: West Virginia,30461,61.4,6.5,2.8,90.8,75.4,10.5,8.5,3.3,47.8,71.8,91.7,6.8,86.1
  US55: Wisconsin,36273,76.7,5.6,2.7,92,80,8.4,9.1,2.8,73.6,79,92.6,7.2,65.2
  US56: Wyoming,43516,76.5,4.5,2.7,93.1,78.3,9.6,5.4,2.9,58.9,80.5,98.2,7.8,68.5
Data extracted on 09 Aug 2021 17:22 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,
